topology,iteration,alg,lambda,primal_error,dual_residual,real_primal_residual,real_dual_residual,objective,total_communication,root_communication,maxnodeiters,max_communication,optimal_value
1,0,hADMM,1.0e-5,27.36869062069833,NaN,NaN,NaN,649046.5,0.0,0.0,74,888,811062.5183470142
1,1,hADMM,1.0e-5,24.65398891485,1.9999791165555032,1.9999791165555032,1.000000019949879,743923.4699367788,54.0,2.0,74,888,811062.5183470142
1,2,hADMM,1.0e-5,21.76494930794613,1.4999658152838764,1.4999658152838764,1.4999658152604312,829167.9105549123,108.0,4.0,74,888,811062.5183470142
1,3,hADMM,1.0e-5,21.397866989542802,0.5000287442274554,0.5000287442274554,0.9998720764638197,847663.3441764882,162.0,6.0,74,888,811062.5183470142
1,4,hADMM,1.0e-5,20.87460205531713,0.33312181023859,0.33312181023859,0.8329993483489444,862506.7678980953,216.0,8.0,74,888,811062.5183470142
1,5,hADMM,1.0e-5,20.12981943243247,0.43836982700543403,0.43836982700543403,0.24284371210154876,866291.2894506966,270.0,10.0,74,888,811062.5183470142
1,6,hADMM,1.0e-5,19.677117185940563,0.32743633766838376,0.32743633766838376,0.1216888987589334,861630.6278750171,324.0,12.0,74,888,811062.5183470142
1,7,hADMM,1.0e-5,19.274997574328445,0.018118463751264358,0.018118463751264358,0.29462517445965924,856581.9658746219,378.0,14.0,74,888,811062.5183470142
1,8,hADMM,1.0e-5,18.784089869860725,0.01981012808839444,0.01981012808839444,0.12399919970030626,852136.23517581,432.0,16.0,74,888,811062.5183470142
1,9,hADMM,1.0e-5,18.27668998658841,0.004044743109190785,0.004044743109190785,0.14380819519547217,847876.831897292,486.0,18.0,74,888,811062.5183470142
1,10,hADMM,1.0e-5,17.790935661470694,0.001322777445346368,0.001322777445346368,0.1315717953246247,843667.7653435008,540.0,20.0,74,888,811062.5183470142
1,11,hADMM,1.0e-5,17.32453507511306,0.0011691798188131486,0.0011691798188131486,0.12547984379668198,839514.7104778148,594.0,22.0,74,888,811062.5183470142
1,12,hADMM,1.0e-5,16.87334490896215,0.02986882671014357,0.02986882671014357,0.09503275902788433,836178.4063298947,648.0,24.0,74,888,811062.5183470142
1,13,hADMM,1.0e-5,16.42917710673185,0.038414761021742905,0.038414761021742905,0.06483149074887185,833864.8913682755,702.0,26.0,74,888,811062.5183470142
1,14,hADMM,1.0e-5,15.991067794320424,0.026829550733388108,0.026829550733388108,0.06759840397342176,832273.4857234799,756.0,28.0,74,888,811062.5183470142
1,15,hADMM,1.0e-5,15.55856965902205,0.008777563118021026,0.008777563118021026,0.07404925160150377,830942.0175593668,810.0,30.0,74,888,811062.5183470142
1,16,hADMM,1.0e-5,15.131581609460584,0.00542439441666942,0.00542439441666942,0.070005393882251,829512.3214132456,864.0,32.0,74,888,811062.5183470142
1,17,hADMM,1.0e-5,14.710125649897686,0.011266027455361982,0.011266027455361982,0.06163297375599916,827836.6764505693,918.0,34.0,74,888,811062.5183470142
1,18,hADMM,1.0e-5,14.294308241846872,0.009933428247850706,0.009933428247850706,0.057042473768213364,825949.5679158905,972.0,36.0,74,888,811062.5183470142
1,19,hADMM,1.0e-5,13.88415007879553,0.005092233530457069,0.005092233530457069,0.06037251543193767,823973.4970484804,1026.0,38.0,74,888,811062.5183470142
1,20,hADMM,1.0e-5,13.619793151262702,0.02410121557763567,0.02410121557763567,0.05533545516916887,822646.1639147755,1080.0,40.0,74,888,811062.5183470142
